"city","country","pop2024","latitude","longitude"
"Tlapacoyan","Mexico",35338,19.9627,-97.2114
"Tonala","Mexico",35322,16.0898,-93.7549
"La Barca","Mexico",35219,20.2878,-102.545
"San Pablo Autopan","Mexico",35141,19.3564,-99.6572
"Ciudad Melchor Muzquiz","Mexico",35060,27.8793,-101.516
"Ixmiquilpan","Mexico",34814,20.4784,-99.217
"Fraccionamiento Real Palmas","Mexico",34636,25.9042,-100.16
"San Miguel Topilejo","Mexico",34603,19.2026,-99.1419
"Maravatio de Ocampo","Mexico",34381,19.8911,-100.444
"Jose Mariano Jimenez","Mexico",34281,27.1308,-104.924
"Porticos de San Antonio","Mexico",34234,32.4425,-117.034
"Tepeji del Rio de Ocampo","Mexico",34151,19.9048,-99.3438
"Coatzintla","Mexico",34036,20.487,-97.4682
"Parras de la Fuente","Mexico",33817,25.4419,-102.178
"San Isidro","Mexico",33737,19.3397,-98.9506
"Zacatlan","Mexico",33736,19.9355,-97.9613
"Calpulalpan","Mexico",33263,19.5887,-98.5697
"Ciudad Sabinas Hidalgo","Mexico",33068,26.5036,-100.182
"Rio Grande","Mexico",32944,23.8265,-103.03
"Ticul","Mexico",32796,20.3983,-89.5354
"Jaltipan de Morelos","Mexico",32778,17.9654,-94.714
"Victor Rosales","Mexico",32721,22.9489,-102.702
"Tenosique","Mexico",32579,17.4729,-91.4236
"Nueva Italia de Ruiz","Mexico",32467,19.0249,-102.093
"Zapotlanejo","Mexico",32376,20.6225,-103.068
"Macuspana","Mexico",32225,17.7605,-92.5954
"Centro Familiar la Soledad","Mexico",32159,21.135,-101.75
"Huixtla","Mexico",32033,15.1391,-92.4641
"Ciudad Fernandez","Mexico",32006,21.9405,-100.012
"Amecameca","Mexico",31687,19.1238,-98.7665
"Cananea","Mexico",31560,30.987,-110.291
"Loma Bonita","Mexico",31485,18.1072,-95.879
"Huatusco","Mexico",31305,19.1488,-96.9676
"San Jose Guadalupe Otzacatipan","Mexico",31299,19.3447,-99.5919
"Chilapa de Alvarez","Mexico",31157,17.5992,-99.1739
"Jimenez","Mexico",31054,28.3333,-105.4
"Champoton","Mexico",30881,19.3475,-90.7204
"Miguel Aleman (La Doce)","Mexico",30869,28.8403,-111.478
"Escuinapa","Mexico",30790,22.8328,-105.778
"Tantoyuca","Mexico",30587,21.3506,-98.2257
"Cosamaloapan","Mexico",30577,18.3676,-95.7986
"Puruandiro","Mexico",30571,20.0889,-101.516
"Huatabampo","Mexico",30475,26.8261,-109.642
"Nicolas R Casillas","Mexico",30424,20.5464,-103.466
"Tlajomulco de Zuniga","Mexico",30273,20.4742,-103.447
"Tequisquiapan","Mexico",29799,20.5225,-99.8917
"San Miguel Ajusco","Mexico",29781,19.222,-99.2024
"Coyula","Mexico",29674,20.6588,-103.227
"Pinotepa Nacional","Mexico",29604,16.3401,-98.053
"Escarcega","Mexico",29477,18.6089,-90.7454
"Marfil","Mexico",29375,20.9916,-101.284
"Santa Isabel","Mexico",29311,32.6333,-115.576
"Actopan","Mexico",29223,20.2696,-98.9438
"Tequila","Mexico",29203,20.882,-103.836
"San Fernando","Mexico",29171,24.8475,-98.1483
"Navolato","Mexico",29153,24.7661,-107.702
"Ixtapa","Mexico",29036,20.7164,-105.205
"Tecamachalco","Mexico",28679,18.8835,-97.7334
"Pabellon de Arteaga","Mexico",28633,22.1464,-102.277
"Tula de Allende","Mexico",28577,20.0516,-99.344
"Ciudad Sahagun","Mexico",28556,19.7756,-98.5747
"San Felipe","Mexico",28452,21.4783,-101.216
"Metepec","Mexico",28205,19.2593,-99.6018
"San Sebastian el Grande","Mexico",28138,20.5327,-103.428
"Nuevo Mexico","Mexico",28135,20.7565,-103.443
"Berriozabal","Mexico",28128,16.7985,-93.2716
"Ajalpan","Mexico",28031,18.3791,-97.2587
"Tultitlan de Mariano Escobedo","Mexico",28017,19.6465,-99.1679
"Apaseo el Alto","Mexico",27991,20.458,-100.621
"Rincon de Romos","Mexico",27988,22.2282,-102.322
"San Francisco Acuautla","Mexico",27960,19.3456,-98.8603
"Sanctorum","Mexico",27936,19.0992,-98.2542
"Catemaco","Mexico",27615,18.4213,-95.114
"Contla","Mexico",27610,19.3293,-98.1664
"Leyva Solano","Mexico",27536,25.6616,-108.637
"Tuxpan","Mexico",27523,19.5555,-103.376
"Tepeaca","Mexico",27449,18.9669,-97.8998
"Abasolo","Mexico",27389,20.45,-101.531
"Huimanguillo","Mexico",27344,17.8337,-93.3893
"Moyotzingo","Mexico",27137,19.2481,-98.4049
"Villagran","Mexico",27079,20.5145,-100.997
"Atotonilco el Alto","Mexico",26874,20.5508,-102.509
"Rancho La Gloria","Mexico",26860,32.4462,-117.001
"Misantla","Mexico",26827,19.9299,-96.8519
"Sayula","Mexico",26789,19.8822,-103.6
"Apan","Mexico",26642,19.7113,-98.4509
"Francisco I. Madero","Mexico",26632,25.773,-103.271
"Magdalena de Kino","Mexico",26605,30.6279,-110.962
"Teapa","Mexico",26548,17.5497,-92.9521
"Rio de Teapa","Mexico",26500,17.7834,-92.9003
"Las Pintitas","Mexico",26500,20.5644,-103.302
"Magdalena Atlicpac","Mexico",26429,19.3691,-98.9493
"Isla","Mexico",26287,18.0278,-95.5295
"San Jeronimo Chicahualco","Mexico",26281,19.2828,-99.5929
"Reforma","Mexico",26257,17.8652,-93.149
"Ixtaczoquitlan","Mexico",26187,18.8536,-97.0623
"Santiago Papasquiaro","Mexico",26121,25.0439,-105.419
"Apaseo el Grande","Mexico",26121,20.545,-100.685
"Ciudad de Allende","Mexico",26065,25.2767,-100.014
"Ocoyoacac","Mexico",26015,19.2713,-99.4579
"Puerto Escondido","Mexico",25902,15.8704,-97.0773
"Acatzingo","Mexico",25811,18.982,-97.7836
"Tecax","Mexico",25751,20.2052,-89.2852
"Felipe Carrillo Puerto","Mexico",25744,19.5775,-88.0453
"Valente Diaz","Mexico",25700,19.1635,-96.2165
"Huejotzingo","Mexico",25684,19.1589,-98.4082
"Tacambaro de Codallos","Mexico",25665,19.235,-101.458
"Tejupilco de Hidalgo","Mexico",25631,18.9048,-100.153
"Valle de Bravo","Mexico",25554,19.195,-100.131
"Mixquiahuala de Juarez","Mexico",25510,20.2303,-99.214
"Ixtepec","Mexico",25381,16.5605,-95.1038
